time,clean,noisy
23.838843,-27.335537640122123,-27.791218532206987
23.841797,-27.34780948642521,-27.448741158056553
23.861395,-27.388131267135346,-27.550733794339887
23.86502,-27.394267190286886,-27.598064357263937
23.884948,-27.405662476139753,-27.447736297750232
23.88966,-27.373229739481598,-27.55785391722111
23.91805,-27.348686046875425,-28.173385624223403
23.921673,-27.343426684174105,-28.377673515434985
23.943737,-27.344303244624324,-28.129570225465052
23.947813,-27.339920442373224,-27.32830719849383
23.996659,-27.336414200572346,-28.645349698012016
24.001071,-27.32677203561992,-27.522549338763497
24.025741,-27.357451651377637,-27.645913801098796
24.0297,-27.323265793819044,-26.864677887215255
24.049092,-27.350439167775868,-27.563563327182234
24.052707,-27.382871904434026,-27.72398484106343
24.075117,-27.39339062983667,-26.919986284102464
24.07996,-27.460009224053415,-27.699228874192215
24.101232,-27.504713807014657,-27.87117385098231
24.104997,-27.531010620521265,-28.024682287781733
24.124787,-27.560813675828758,-27.71861519401187
24.12785,-27.573962082582064,-28.04843265618989
24.151858,-27.54503558772479,-28.078024849105457
24.154941,-27.591493291586474,-27.24240331111552
24.203026,-27.578344884833168,-27.991841104741432
24.206835,-27.62480258869485,-28.286832645014545
24.235331,-27.60639481924022,-28.513389218234785
24.24023,-27.663371248504543,-27.96343610014148
24.261536,-27.68177901795917,-28.29913492396852
24.264596,-27.733496084522173,-28.243950680658415
24.287633,-27.72911328227107,-28.379932006969213
24.290696,-27.68002589705873,-27.79110931241585
24.310457,-27.60902450059088,-28.360631808358153
24.313536,-27.650222841751237,-27.526110391015674
24.337448,-27.58272768708427,-27.787999296682557
24.343955,-27.541529345923912,-27.073302240908973
24.367825,-27.459132663603196,-26.954328575548455
24.370894,-27.437218652347685,-27.104080074991828
24.396844,-27.456502982252534,-26.603479720307064
24.400031,-27.481046674858707,-26.25617309079017
24.604008,-27.489812279360912,-26.522348314600425
24.679702,-27.576591763932726,-28.037525729147063
24.684135,-27.647593160400575,-27.755226261934812
24.705552,-27.80099123918914,-27.830535955291502
24.708731,-27.958772120228808,-27.42312448528966
24.728232,-28.15073885882707,-28.15891140994242
24.731288,-28.344458718325768,-28.365196861679433
24.751645,-28.534672336023586,-28.587715857259624
24.755486,-28.746799964976912,-28.272058276777273
24.773941,-28.979088484285313,-28.280052257713123
24.777136,-29.24468630070208,-29.45888506440274
24.799436,-29.4305171161488,-29.229355236545356
24.802507,-29.606705766643092,-30.08741825999327
24.822236,-29.804808428392896,-30.485793458773866
24.825415,-29.966972111683663,-29.203368296037123
24.848447,-30.09933273966694,-29.388197089633373
24.851521,-30.196630949641396,-29.55485418613293
24.871653,-30.213285598195583,-28.864316362112124
24.874915,-30.30094164321762,-30.585776161467034
24.894441,-30.378078962837016,-30.894553048153302
24.897512,-30.418400743547153,-30.463451210118095
24.916648,-30.46222876605817,-31.0627233551269
24.919824,-30.510439590820294,-30.369553916824984
24.939962,-30.518328634872276,-29.86755817645038
24.944065,-30.59721907539211,-30.110226459265824
24.965454,-30.606861240344536,-29.873798088855132
24.968524,-30.637540856102248,-30.251355055679774
24.991269,-30.604231558993874,-30.749303973256517
24.996019,-30.648936141955108,-30.885913001961274
25.01766,-30.667343911409734,-30.563148342154008
25.021093,-30.743604670578907,-31.64504222532796
25.044437,-30.69977664806789,-32.56540296937498
25.047618,-30.693640724916346,-30.793013909801928
25.066763,-30.6787391972626,-30.952895022750877
25.069828,-30.696270406267008,-30.316685114918865
25.092026,-30.686628241314587,-30.826642873057086
25.097181,-30.634911174751586,-30.983442231552086
25.118535,-30.565662899184176,-31.267723525450766
25.122071,-30.595465954491672,-31.55117917529396
25.144425,-30.519205195322495,-31.21689693532512
25.150327,-30.48238965641324,-30.559168652385157
25.174044,-30.811976385696095,-31.102464064606163
25.177626,-31.099488213368378,-31.147518191171358
25.203533,-31.482545130114676,-31.879031175366347
25.208012,-31.912936311172878,-32.79949221696179
25.229828,-32.340697810880414,-32.13041810000078
25.234087,-32.8394607070558,-32.661273974223526
25.805541,-33.28562997621797,-32.757903467167615
25.809358,-33.442534296807416,-32.7322028097042
25.828671,-33.61171046369994,-32.953014482286264
25.83233,-33.765985102938735,-33.59834592288176
25.85197,-33.80543032319865,-33.57539745252077
25.855638,-33.81419592770085,-33.9178504234456
25.876943,-33.83698649940658,-33.672855482664154
25.882363,-33.877308280116715,-33.08019108756923
25.903272,-33.8720489174154,-33.22257099758947
25.9071,-33.81682560905151,-33.31746606971288
