time,clean,noisy
7.832883,14.64469544183166,14.676073774649005
7.859872,14.66310321128629,15.349711294213328
7.863595,14.678881299390254,15.412204332027727
7.888837,14.698165629295103,14.770073370344656
7.895049,14.713943717399069,15.360140953972747
7.919061,14.732351486853698,15.275110515223734
7.923245,14.748129574957664,15.890523203863362
7.947724,14.765660783962073,14.962504948871281
7.953313,14.781438872066037,16.40559154145376
7.978467,14.794587278819344,13.670056011912983
7.981775,14.80598256467221,15.679689768788146
8.008796,14.816501290074852,13.82969010909483
8.013962,14.823513773676616,15.11080031030569
8.038128,14.827896575927719,14.579299713916347
8.042488,14.82964969682816,13.48300060725525
8.067772,14.830526257278379,13.460725279400943
8.071505,14.83403249907926,13.797710739273537
8.0992,14.83666218042992,16.596254043727786
8.104421,14.841044982681023,13.134893389804663
8.129755,14.854193389434327,15.204835167518963
8.134654,14.868218356637854,14.539747393325113
8.186234,14.887502686542703,14.8063667528146
8.192156,14.908540137347991,13.368445507504958
8.216234,14.92957758815328,13.738470240141538
8.221303,14.94710879715769,13.77504961744738
8.272033,14.958504083010553,15.347686384289213
8.275752,14.962010324811438,13.863531222154753
8.30188,14.961133764361213,14.592061300354354
8.308059,14.949738478508348,18.306076800851365
8.333749,14.914676060499534,15.156317761968051
8.340467,14.873477719339176,16.004898118608768
8.363347,14.784068553416699,15.198006353698137
8.369115,14.69290626659378,15.869488962434005
8.394824,14.542137869155876,14.341690330823967
8.400255,14.383480427665992,15.700470492046325
8.427856,14.178365282314424,11.538713277705785
8.43393,13.986398543716165,12.781560394163115
8.462561,13.73920849675402,13.687170155156306
8.466133,13.535846472302898,12.95419975913506
8.492467,13.272878337236788,12.631639451573465
8.497343,13.044972620179491,11.1484686323299
8.520056,12.739053023052584,11.60951364802484
8.525892,12.469072404384711,11.150605570792814
8.55119,12.13072007059965,10.093775466393154
8.555829,11.834442638425166,9.664107308960045
8.581328,11.470670051583713,11.984643551725267
8.588322,11.141083322300855,9.937529139675227
8.619639,10.706309338991554,12.091415826181436
8.624593,10.33903051034922,10.883931391224696
8.649061,9.866564427680443,10.526046946568469
8.655236,9.44844509292533,8.18358798693762
8.675281,8.937410350446855,9.706711077953608
8.683459,8.473709872280281,7.8617295135610235
8.716208,7.938131437195637,8.547428930133126
8.721598,7.51650586063964,6.949673942544242
8.751174,7.011607041312711,6.140141248278562
8.757538,6.611895476012223,7.5399371434174025
8.785359,6.136799711992786,6.813834948133577
8.792923,5.758125597497587,7.883096678801396
8.818258,5.297931361131894,5.210655625079625
8.822724,4.910491642134493,5.995467804027912
8.849548,4.438025559465716,4.908616914916491
8.853499,4.054968642719416,5.246610809657655
8.878842,3.6105524944576897,5.1935520939928494
8.882572,3.245903347166018,4.444571997109165
8.911168,2.818141847458479,3.4925538076896836
8.917945,2.475406711422316,3.0077600824764934
8.947285,2.091473234225795,2.1732097071706504
8.952431,1.7873067579993278,2.222598947646653
8.978413,1.441065380162283,2.0062897732886604
8.984002,1.1579363547411048,1.4568597052752583
9.014257,0.8502636367137563,1.0284040804532808
9.02071,0.6135923151542574,0.7914571321104844
9.052208,0.377797554044979,1.5024582997293707
9.058875,0.21475731030399098,0.5166601773159496
9.08543,0.04821082476212157,0.4104825061697973
9.090423,-0.05609986881410189,-0.9888219041094509
9.118536,-0.1639168041912068,0.6550106326746844
9.124627,-0.23053539840795453,0.415035649492399
9.150236,-0.30942583892778736,0.37757540565670483
9.15632,-0.36727882864233163,0.3672825923376488
9.184458,-0.43565054375952017,-0.43195143875484143
9.190342,-0.47947856627053853,-0.14086343620934716
9.217352,-0.5338253141842012,0.8321833782304494
9.22339,-0.574147094894338,-0.7953806869301989
9.245849,-0.6092095129031527,-0.8418649946882534
9.251442,-0.6249876010071194,-0.9376568287135746
9.280472,-0.6565437772150526,-0.4376228682592734
