Metric,Noisy,Denoised
MSE,0.3147068917751312,0.02117963135242462
RMSE,0.5609874129295349,0.14553223550319672
NMSE,0.5526239640479474,0.03719134144018515
Correlation,0.7823654653710457,0.9772189924735465
