time,clean,noisy
2.199423,-8.084517032382438,-8.671790447488272
2.222445,-8.151135626599187,-9.100904955353595
2.244356,-8.214247979015054,-8.083241673006242
2.247619,-8.262458803777173,-9.13084937156215
2.268162,-8.3238180352926,-8.415309207133472
2.270707,-8.3755351018556,-8.248586215229839
2.291266,-8.439524014721687,-7.917084506528331
2.294465,-8.49124108128469,-8.118375696994557
2.312149,-8.556106554600996,-9.214101276709929
2.31469,-8.613959544315538,-9.210803079346093
2.334759,-8.684084380333168,-9.471799380109562
2.337998,-8.739307688697052,-9.20162788708391
2.358053,-8.825210612818648,-8.425124117780435
2.360386,-8.894458888386058,-7.902063002167944
2.380636,-8.974225889356111,-9.431373503108945
2.38318,-9.037338241771977,-9.71242599707918
2.40326,-9.112722440490929,-9.981388395689368
2.405105,-9.174958232456575,-10.100609755746987
2.448463,-9.250342431175525,-10.77417296848337
2.451533,-9.289787651435443,-9.199071003391044
2.470349,-9.341504717998443,-9.715026264398317
2.473582,-9.38182649870858,-10.147699498337417
2.49376,-9.432667004821363,-10.007316541357941
2.496307,-9.472112225081279,-10.085171071154134
2.518102,-9.517693368492738,-9.781505314624644
2.520645,-9.54837298425045,-10.163126466090485
2.539045,-9.592201006761469,-10.406440957779592
2.54089,-9.627263424770282,-10.330693664148326
2.561658,-9.66933832638086,-10.730809110054263
2.56446,-9.700894502588795,-10.857925101919601
2.584359,-9.741216283298929,-9.902250626895627
2.58835,-9.776278701307744,-9.368978010969025
2.603452,-9.828872328320967,-10.752053417361228
2.605992,-9.869194109031104,-11.127196272991071
2.625875,-9.92529397784521,-11.024204751883568
2.630362,-9.97438136305755,-10.57567625336155
2.647931,-10.037493715473415,-10.635003495719792
2.650461,-10.091840463387076,-9.871209340830301
2.671926,-10.162841859854929,-9.707983674447108
2.673784,-10.219818289119251,-9.480640216503742
2.693559,-10.303968092340407,-9.663730486561912
2.697123,-10.374969488808256,-10.116811745886181
2.716896,-10.463502094280512,-10.985267078368521
2.718853,-10.540639413899905,-10.387962542830902
2.739826,-10.62829545892194,-10.931385694244739
2.742507,-10.699296855389793,-11.768607770130707
2.769216,-10.786076339961607,-10.769280194975904
2.772666,-10.850941813277915,-11.084490765950214
2.796316,-10.922819770195984,-11.528948222663349
2.799412,-10.977166518109648,-11.24246356268202
2.81854,-11.056933519079701,-10.147087720492587
2.822247,-11.121798992396007,-10.674111259037227
2.843061,-11.207701916517603,-10.379381083357845
2.846338,-11.277826752535233,-11.31963598343891
2.866161,-11.36372967665683,-12.334567856478472
2.870129,-11.43736075447534,-12.485701600123308
2.893065,-11.529399601748477,-12.35511475152245
2.894907,-11.596894756415445,-10.626729897487781
2.915061,-11.681921120086821,-11.748451023350258
2.918584,-11.747663153853349,-11.757462990600358
2.937744,-11.837072319775826,-11.964924956584754
2.9396,-11.907197155793455,-12.64282950934954
2.957663,-11.996606321715934,-13.473655324574185
2.960692,-12.073743641335325,-13.15050396647686
2.976653,-12.169288730409347,-13.945602402281203
2.978987,-12.243796368678076,-12.876840310310339
2.996271,-12.334082095050777,-11.979282124488819
2.998161,-12.404206931068405,-12.679082447446023
3.01408,-12.495369217891323,-13.327732404954169
3.017821,-12.569000295709834,-11.895635143655854
3.034034,-12.651396978030547,-11.252194198836856
3.036601,-12.713632769996192,-12.421656425352989
3.052255,-12.795152891866685,-12.243356531036317
3.054098,-12.865277727884315,-11.85479084552115
3.071148,-12.934526003451726,-12.378836111386505
3.073683,-12.989749311815608,-12.186620362481186
3.093354,-13.060750708283459,-11.70050486949177
3.095906,-13.11334433529668,-12.90422012868686
3.111849,-13.172950445911665,-13.04851936824519
3.115563,-13.216778468422683,-12.753600694586453
3.132254,-13.266742414085243,-13.060567105469572
3.134802,-13.316706359747805,-13.00467050026238
3.154452,-13.368423426310807,-12.659760942019213
3.157301,-13.406115525670282,-12.960884393468861
3.177061,-13.456079471332846,-12.13651548105904
3.178926,-13.501660614744303,-13.358957528972335
3.196055,-13.558637044008627,-12.880055364482372
3.201059,-13.602465066519645,-13.64158969050865
3.21908,-13.662071177134631,-12.85023123079443
3.222308,-13.71291168324741,-12.920791997327497
3.237654,-13.776900596113498,-12.203652283396547
3.240893,-13.833877025377824,-12.748797148868373
3.258858,-13.90312530094523,-14.22606637423669
3.261355,-13.965361092910875,-13.216386282108942
3.277178,-14.041621852080047,-13.727726172080326
3.280727,-14.09859828134437,-13.429998127157129
3.297764,-14.175735600963764,-14.249260269070646
3.300998,-14.23972451382985,-13.52127736824534
3.318051,-14.316861833449243,-14.112721532141686
3.320606,-14.38172730676555,-14.45300723458395
3.337643,-14.4571115054845,-14.83187416539478
3.340196,-14.521100418350587,-15.022460248318119
3.3562,-14.604373661121523,-14.927658766648292
3.36102,-14.665732892636948,-14.775053709373232
3.38025,-14.74287021225634,-14.219562421453237
3.382813,-14.801599762421105,-13.187833207586472
3.401467,-14.879613642490717,-14.466131776328517
3.403345,-14.945355676257247,-14.205999350462664
3.42085,-15.024246116777078,-14.496496097427553
3.423208,-15.089111590093385,-14.806302241117987
3.441463,-15.167125470162999,-14.981303467861705
3.443843,-15.230237822578864,-14.567114040599591
3.462754,-15.307375142198257,-14.735849838777762
3.466309,-15.367857813263461,-15.91663055541066
3.48366,-15.440612330631751,-15.68720965358852
3.486899,-15.500218441246735,-14.36038933503824
3.507552,-15.579108881766569,-14.584158933412033
3.510173,-15.64835715733398,-17.211878603492252
3.526162,-15.72812415830403,-15.376991057349086
3.530387,-15.799125554771882,-16.309075628784417
3.550448,-15.884151918443258,-16.68546592016873
3.552825,-15.954276754460889,-14.129292230923102
3.573384,-16.03316719498072,-15.250490809223443
3.576433,-16.087513942894383,-14.976325889345576
3.593767,-16.157638778912013,-13.457595380178095
3.595614,-16.218121449977218,-16.98504873145909
3.614169,-16.290875967345507,-15.685903678373164
3.616481,-16.34259303390851,-15.096286596026335
3.633344,-16.411841309475918,-15.814711067405913
3.63737,-16.472323980541123,-17.095802163017247
3.654551,-16.545078497909415,-16.722086868748086
3.658436,-16.601178366723516,-17.059576156615798
3.676772,-16.66253759823894,-18.272921228730638
3.679308,-16.71074842300106,-18.1137597955698
3.695948,-16.773860775416928,-17.450069485981988
3.699171,-16.82294816062927,-18.727466868729525
3.715866,-16.884307392144695,-16.087910850361958
3.718418,-16.934271337807257,-16.97454059805724
3.733957,-17.003519613374667,-18.36646032588955
3.737206,-17.06750852624075,-16.483813003985695
3.753164,-17.142892724959705,-19.71549474508438
3.755718,-17.20249883557469,-15.585708992500637
3.775151,-17.277883034293637,-17.91320003053104
3.778387,-17.338365705358846,-17.76506361616276
3.804276,-17.409367101826696,-19.720038162229045
3.807128,-17.457577926588815,-21.10447984974909
3.825333,-17.5171840372038,-21.455251460838177
3.828897,-17.56101205971482,-18.20560528830619
3.844769,-17.620618170329806,-19.059119340624733
3.847837,-17.66269307194038,-19.368754329295008
3.862858,-17.719669501204706,-19.835803003415677
3.866114,-17.764374084165944,-20.174805882288645
3.882257,-17.82836299703203,-17.708653640692187
3.885268,-17.880956624045254,-19.290677248550615
3.902551,-17.94669865781178,-18.463235504577412
3.905591,-17.998415724374784,-17.3097578648392
3.920356,-18.061528076790648,-18.17558536737263
3.922903,-18.108862341102547,-18.46722989210412
3.942461,-18.169345012167753,-17.947934124908468
3.946721,-18.215802716029433,-20.327343104167767
3.961551,-18.271026024393315,-19.87822435234992
3.965136,-18.315730607354553,-17.93520489248647
3.982059,-18.37007735526822,-16.394315726415243
3.983913,-18.413905377779237,-20.01848173367572
4.004048,-18.47000524659334,-17.980076850061604
4.006602,-18.51470982955458,-20.318951105248274
4.022945,-18.56555033566736,-17.33738417742275
4.024795,-18.605872116377498,-21.47500280081922
4.041856,-18.65408294113962,-18.624240332404018
4.044711,-18.693528161399534,-20.123580824299317
4.064456,-18.73998586526121,-18.12159044889004
4.066999,-18.771542041469147,-17.536936335588624
4.084154,-18.812740382629503,-18.88816267963245
4.086704,-18.839913756586334,-18.463945580628575
4.103661,-18.874099614144928,-18.753655084242855
4.106205,-18.899519867201317,-22.44036337693175
4.122178,-18.93195260385947,-17.526147788407133
4.124018,-18.9547431755652,-16.199478446189904
4.14066,-18.97928686817137,-17.22822197489884
4.142507,-18.99418839582512,-19.739465989279733
4.163528,-19.013472725729965,-19.174249541115874
4.1676,-19.021361769781947,-21.42961894131008
4.185074,-19.033633616085034,-18.94890802939644
